Entity,Code,Year,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 25-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 15-24 - Variant: estimates,Population by broad age group - Sex: all - Age: 5-14 - Variant: estimates,Population by broad age group - Sex: all - Age: 0-4 - Variant: estimates
Bahamas,BHS,2021,34956,225689,67231,56841,23203
Bahrain,BHR,1950,3373,41641,22528,29294,20324
Bahrain,BHR,1951,3445,42590,23162,30629,20545
Bahrain,BHR,1952,3510,43542,23940,31815,20888
Bahrain,BHR,1953,3573,44537,24860,32749,21479
Bahrain,BHR,1954,3623,45602,25912,33381,22390
Bahrain,BHR,1955,3664,46777,27057,33947,23438
Bahrain,BHR,1956,3693,48076,28254,34586,24575
Bahrain,BHR,1957,3714,49534,29474,35262,25930
Bahrain,BHR,1958,3728,51170,30666,36057,27471
Bahrain,BHR,1959,3745,52984,31776,37072,29121
Bahrain,BHR,1960,3762,54993,32751,38416,30780
Bahrain,BHR,1961,3787,57207,33549,40173,32265
Bahrain,BHR,1962,3810,59630,34157,42368,33405
Bahrain,BHR,1963,3824,62266,34588,44985,34240
Bahrain,BHR,1964,3820,65107,34902,47964,34811
Bahrain,BHR,1965,3944,67689,35019,51047,35325
Bahrain,BHR,1966,4230,69785,35160,53908,35946
Bahrain,BHR,1967,4559,71668,35734,56427,36546
Bahrain,BHR,1968,4923,73387,36804,58693,37008
Bahrain,BHR,1969,5324,74982,38319,60785,37297
Bahrain,BHR,1970,5772,76474,40184,62720,37417
Bahrain,BHR,1971,6139,78732,43520,65029,37581
Bahrain,BHR,1972,6365,82345,48743,67600,38106
Bahrain,BHR,1973,6558,86857,54546,69584,39099
Bahrain,BHR,1974,6741,92155,60288,70832,40621
Bahrain,BHR,1975,6914,98351,65716,71515,42629
Bahrain,BHR,1976,7084,105546,70516,72036,44864
Bahrain,BHR,1977,7246,113848,74418,72901,46937
Bahrain,BHR,1978,7405,123262,77285,74356,48622
Bahrain,BHR,1979,7549,133737,79104,76427,49888
Bahrain,BHR,1980,7705,145136,79970,79023,50766
Bahrain,BHR,1981,7935,155022,81242,82008,51228
Bahrain,BHR,1982,8250,162465,83755,84818,51743
Bahrain,BHR,1983,8583,169725,86504,87032,52935
Bahrain,BHR,1984,8928,177727,88885,88765,54923
Bahrain,BHR,1985,9288,186502,90803,90102,57692
Bahrain,BHR,1986,9654,196048,92181,91381,60938
Bahrain,BHR,1987,10019,206395,92841,93311,64007
Bahrain,BHR,1988,10395,217523,92609,96284,66532
Bahrain,BHR,1989,10745,229379,91450,100332,68454
Bahrain,BHR,1990,11067,241870,89483,105367,69642
Bahrain,BHR,1991,11515,252228,90269,111672,69735
Bahrain,BHR,1992,12146,260234,94804,117929,69367
Bahrain,BHR,1993,12855,268452,100398,122597,69460
Bahrain,BHR,1994,13610,277170,106502,126053,69924
Bahrain,BHR,1995,14361,286691,112618,128622,70649
Bahrain,BHR,1996,15073,297291,118463,130422,71514
Bahrain,BHR,1997,15764,309109,123883,131576,72319
Bahrain,BHR,1998,16417,322270,128399,132523,72875
Bahrain,BHR,1999,16996,336889,131437,133728,73088
Bahrain,BHR,2000,17532,352911,132736,135437,72830
Bahrain,BHR,2001,18067,370167,132450,137601,71978
Bahrain,BHR,2002,18598,388343,131109,139893,70389
Bahrain,BHR,2003,19224,411124,136074,142243,69595
Bahrain,BHR,2004,20098,444034,153243,144294,71785
Bahrain,BHR,2005,21146,485730,173435,145631,75986
Bahrain,BHR,2006,22193,533685,187876,146767,80465
Bahrain,BHR,2007,23167,588496,195688,148348,84846
Bahrain,BHR,2008,24081,649848,197181,151038,88204
Bahrain,BHR,2009,25023,716497,193544,155101,89295
Bahrain,BHR,2010,25924,753408,186129,158143,90051
Bahrain,BHR,2011,26614,755894,180467,158015,91096
Bahrain,BHR,2012,27380,772314,178471,155574,91209
Bahrain,BHR,2013,29994,802793,177827,157344,93725
Bahrain,BHR,2014,34568,829546,181648,166329,99051
Bahrain,BHR,2015,37781,858742,188174,174564,102896
Bahrain,BHR,2016,39133,894046,191848,179749,104892
Bahrain,BHR,2017,40275,932863,192439,184984,106283
Bahrain,BHR,2018,41661,959880,189389,190110,106306
Bahrain,BHR,2019,44054,965904,184378,194601,105258
Bahrain,BHR,2020,47245,959155,171166,197783,102129
Bahrain,BHR,2021,51052,956937,157104,200565,97608
Bangladesh,BGD,1950,1547803,14345199,7487017,9846311,6502211
Bangladesh,BGD,1951,1509375,14706576,7667133,10066812,6598698
Bangladesh,BGD,1952,1475589,15078418,7852699,10282719,6737463
Bangladesh,BGD,1953,1448147,15444861,8033298,10463391,6939586
Bangladesh,BGD,1954,1429633,15814784,8209481,10616409,7211727
Bangladesh,BGD,1955,1421414,16200279,8387282,10803446,7503130
Bangladesh,BGD,1956,1422862,16594609,8566268,11037797,7786135
Bangladesh,BGD,1957,1434418,16997242,8748218,11303654,8076986
Bangladesh,BGD,1958,1455357,17388354,8925585,11596171,8377324
Bangladesh,BGD,1959,1483273,17793772,9118060,11921344,8688514
Bangladesh,BGD,1960,1516350,18240576,9340221,12282844,9016438
Bangladesh,BGD,1961,1554896,18711592,9572012,12679014,9365261
Bangladesh,BGD,1962,1600370,19206516,9800311,13121322,9733142
Bangladesh,BGD,1963,1652349,19715244,9998525,13632658,10095342
Bangladesh,BGD,1964,1710563,20233312,10171265,14218259,10441080
Bangladesh,BGD,1965,1773302,20763086,10373679,14831272,10758818
Bangladesh,BGD,1966,1841341,21297886,10617119,15455450,11053469
Bangladesh,BGD,1967,1915677,21844180,10888015,16105079,11351536
Bangladesh,BGD,1968,1993462,22399546,11183082,16760612,11658956
Bangladesh,BGD,1969,2071628,22926496,11485037,17405776,11977976
Bangladesh,BGD,1970,2140566,23381816,11784359,17988608,12246516
Bangladesh,BGD,1971,2130867,23469524,11991454,18472094,12312268
Bangladesh,BGD,1972,2130430,23544492,12249348,18980346,12442093
Bangladesh,BGD,1973,2211548,23908600,12700163,19546740,12777765
Bangladesh,BGD,1974,2293708,24236534,13229774,20082132,13105660
Bangladesh,BGD,1975,2382250,24643450,13741303,20486098,13447247
Bangladesh,BGD,1976,2479584,25163016,14158529,20776124,13802830
Bangladesh,BGD,1977,2581548,25739292,14531692,21157488,14127768
Bangladesh,BGD,1978,2684453,26373048,14875819,21645268,14428962
Bangladesh,BGD,1979,2783870,27047698,15162751,22171148,14742690
Bangladesh,BGD,1980,2881765,27772960,15435804,22770604,15068636
Bangladesh,BGD,1981,2979065,28552028,15766704,23456526,15400513
Bangladesh,BGD,1982,3074845,29375452,16187618,24181872,15735555
Bangladesh,BGD,1983,3168690,30227740,16693214,24915412,16040426
Bangladesh,BGD,1984,3261691,31096816,17246292,25638260,16291188
Bangladesh,BGD,1985,3354856,31981404,17805942,26322968,16493931
Bangladesh,BGD,1986,3444917,32878676,18359268,26956220,16632668
Bangladesh,BGD,1987,3530417,33789124,18934140,27538226,16698349
Bangladesh,BGD,1988,3608988,34712690,19547796,28103460,16715905
Bangladesh,BGD,1989,3676221,35648132,20176368,28676614,16716342
Bangladesh,BGD,1990,3742393,36616660,20830536,29266784,16691284
Bangladesh,BGD,1991,3810510,37622350,21450434,29767576,16591963
Bangladesh,BGD,1992,3885179,38665784,22067112,30199520,16454513
Bangladesh,BGD,1993,3965745,39758940,22732518,30619120,16342437
Bangladesh,BGD,1994,4046144,40914844,23415208,30971744,16266962
Bangladesh,BGD,1995,4134677,42105116,24104092,31227434,16222018
Bangladesh,BGD,1996,4223549,43313790,24772930,31343410,16223188
Bangladesh,BGD,1997,4326126,44611000,25422216,31351336,16328554
Bangladesh,BGD,1998,4471051,46001400,26043586,31320148,16514285
Bangladesh,BGD,1999,4660082,47446050,26639334,31308364,16700998
Bangladesh,BGD,2000,4858866,48926196,27207904,31304062,16896304
Bangladesh,BGD,2001,5047658,50420640,27719120,31371008,17112060
Bangladesh,BGD,2002,5238886,51911504,28160376,31550296,17278764
Bangladesh,BGD,2003,5430910,53382496,28538876,31769888,17381040
Bangladesh,BGD,2004,5619655,54865860,28879720,31987708,17436786
Bangladesh,BGD,2005,5801072,56331270,29166376,32208970,17404896
Bangladesh,BGD,2006,5972032,57636690,29296724,32458176,17265212
Bangladesh,BGD,2007,6126577,58892904,29323696,32739420,17053340
Bangladesh,BGD,2008,6271786,60057870,29293228,33022300,16776137
Bangladesh,BGD,2009,6422905,61244428,29336360,33260832,16442287
Bangladesh,BGD,2010,6598694,62710130,29546358,33440844,16095118
Bangladesh,BGD,2011,6793766,64309076,29807630,33554024,15746514
Bangladesh,BGD,2012,6995080,65996720,30132780,33560290,15405788
Bangladesh,BGD,2013,7184543,67766856,30509868,33449688,15119184
Bangladesh,BGD,2014,7363775,69585370,30868680,33235390,14908091
Bangladesh,BGD,2015,7587423,71380240,31195712,32904864,14761756
Bangladesh,BGD,2016,7871138,73176460,31568332,32473944,14694691
Bangladesh,BGD,2017,8204440,74967820,31973868,31982376,14665458
Bangladesh,BGD,2018,8587683,76661820,32323244,31476476,14634727
Bangladesh,BGD,2019,9010489,78310740,32583984,30982224,14628789
Bangladesh,BGD,2020,9430759,80011816,32804556,30526902,14646916
Bangladesh,BGD,2021,9868579,81719304,32968584,30136448,14663335
Barbados,BRB,1950,11023,87314,35465,46956,29798
Barbados,BRB,1951,11121,88755,36682,48553,30327
Barbados,BRB,1952,11348,89937,37603,49897,30696
Barbados,BRB,1953,11631,90934,38161,51045,30965
Barbados,BRB,1954,11881,91840,38387,51886,31321
Barbados,BRB,1955,12081,92696,38379,52512,31662
Barbados,BRB,1956,12246,93415,38086,52999,31882
Barbados,BRB,1957,12347,94062,37606,53328,32131
Barbados,BRB,1958,12432,94703,37159,53674,32387
Barbados,BRB,1959,12577,95298,36827,54098,32618
Barbados,BRB,1960,12800,95753,36632,54584,32791
Barbados,BRB,1961,13124,95765,36432,55400,32981
Barbados,BRB,1962,13556,95311,36345,56533,33094
Barbados,BRB,1963,14079,94605,36620,57664,32916
Barbados,BRB,1964,14678,93705,37105,58909,32443
Barbados,BRB,1965,15322,92744,37847,60125,31660
Barbados,BRB,1966,16030,91770,38923,61138,30636
Barbados,BRB,1967,16802,90836,40162,61965,29488
Barbados,BRB,1968,17563,90015,41530,62506,28307
Barbados,BRB,1969,18284,89410,43041,62713,27150
Barbados,BRB,1970,18942,89129,44704,62560,26067
Barbados,BRB,1971,19551,89173,46472,62047,25114
Barbados,BRB,1972,20117,89559,48273,61189,24330
Barbados,BRB,1973,20629,90238,50047,60014,23722
Barbados,BRB,1974,21161,90997,51868,58555,23280
Barbados,BRB,1975,21734,91944,53597,56859,22962
Barbados,BRB,1976,22329,93211,55072,55011,22740
Barbados,BRB,1977,22954,94649,56310,53176,22580
Barbados,BRB,1978,23598,96235,57201,51477,22508
Barbados,BRB,1979,24241,97980,57661,49934,22524
Barbados,BRB,1980,24975,100035,57480,48610,22482
Barbados,BRB,1981,25759,102349,56706,47551,22330
Barbados,BRB,1982,26471,104694,55597,46736,22156
Barbados,BRB,1983,27115,107044,54235,46164,21958
Barbados,BRB,1984,27664,109405,52720,45731,21771
Barbados,BRB,1985,28071,111741,51180,45337,21588
Barbados,BRB,1986,28364,113978,49778,44907,21350
Barbados,BRB,1987,28573,116021,48639,44411,21024
Barbados,BRB,1988,28706,117809,47782,43876,20598
Barbados,BRB,1989,28806,119340,47132,43341,20148
Barbados,BRB,1990,28832,121070,46416,42725,19828
Barbados,BRB,1991,28811,123221,45642,42031,19709
Barbados,BRB,1992,28800,125344,44951,41390,19741
Barbados,BRB,1993,28831,127244,44260,40831,19835
Barbados,BRB,1994,28945,128962,43545,40446,19822
Barbados,BRB,1995,29074,130603,42715,40314,19603
Barbados,BRB,1996,29154,132307,41761,40354,19232
Barbados,BRB,1997,29244,134022,40794,40349,18825
Barbados,BRB,1998,29370,135553,40038,40160,18526
Barbados,BRB,1999,29504,136860,39517,39829,18471
Barbados,BRB,2000,29658,138073,39021,39388,18523
Barbados,BRB,2001,29839,139343,38725,38911,18566
Barbados,BRB,2002,30097,140555,38637,38557,18621
Barbados,BRB,2003,30293,141739,38535,38340,18602
Barbados,BRB,2004,30393,142981,38526,38161,18453
Barbados,BRB,2005,30525,144138,38700,37874,18252
Barbados,BRB,2006,30651,145297,38917,37517,18054
Barbados,BRB,2007,30844,146571,38884,37237,17924
Barbados,BRB,2008,31227,147804,38488,37110,18018
Barbados,BRB,2009,31798,148782,37949,37151,18121
Barbados,BRB,2010,32342,149685,37506,37194,17990
Barbados,BRB,2011,32849,150565,37241,37128,17718
Barbados,BRB,2012,33514,151139,37182,37064,17308
Barbados,BRB,2013,34328,151474,37284,37123,16664
Barbados,BRB,2014,35246,151812,37347,37030,16066
Barbados,BRB,2015,36256,152249,37300,36563,15727
Barbados,BRB,2016,37256,152783,37179,35929,15513
Barbados,BRB,2017,38355,153178,37008,35308,15350
Barbados,BRB,2018,39594,153236,36912,34730,15230
Barbados,BRB,2019,40979,152962,36926,34173,15153
Barbados,BRB,2020,42549,152437,36953,33657,15108
Barbados,BRB,2021,44197,151848,36900,33175,15084
Belarus,BLR,1950,651433,3462718,1578713,1472651,741346
Belarus,BLR,1951,625843,3444854,1580996,1445589,781808
Belarus,BLR,1952,607707,3447166,1580747,1423544,816362
Belarus,BLR,1953,595057,3466523,1580227,1408300,843135
Belarus,BLR,1954,586622,3497861,1577437,1402294,863462
Belarus,BLR,1955,583034,3537468,1565947,1405605,884308
Belarus,BLR,1956,582830,3582574,1544154,1420369,907434
Belarus,BLR,1957,583563,3631807,1512542,1452134,929491
Belarus,BLR,1958,587472,3685713,1470775,1500876,949732
Belarus,BLR,1959,593612,3745042,1421409,1561132,967447
Belarus,BLR,1960,602046,3809829,1370301,1625869,981141
Belarus,BLR,1961,613285,3881909,1322967,1688064,989525
Belarus,BLR,1962,624142,3960340,1283509,1741761,990111
Belarus,BLR,1963,636163,4040455,1255414,1783887,979068
Belarus,BLR,1964,652461,4116121,1241091,1816660,953415
Belarus,BLR,1965,672790,4180037,1238828,1847292,915585
Belarus,BLR,1966,695393,4228139,1249893,1876573,871806
Belarus,BLR,1967,719499,4259744,1279666,1898744,828122
Belarus,BLR,1968,743832,4276623,1328465,1908488,790398
Belarus,BLR,1969,768631,4284407,1391733,1901035,762643
Belarus,BLR,1970,794334,4291524,1461053,1876873,747006
Belarus,BLR,1971,820223,4307460,1526201,1841538,741350
Belarus,BLR,1972,845722,4337927,1580827,1799244,740227
Belarus,BLR,1973,871677,4381899,1623835,1752158,740008
Belarus,BLR,1974,898970,4434266,1658521,1702387,741450
Belarus,BLR,1975,926511,4486377,1692261,1653217,742369
Belarus,BLR,1976,952956,4537369,1725625,1607135,741300
Belarus,BLR,1977,977440,4592056,1752853,1564577,741956
Belarus,BLR,1978,998308,4652278,1768781,1527382,746573
Belarus,BLR,1979,1012818,4721385,1766996,1501734,753325
Belarus,BLR,1980,1018401,4801847,1747463,1487937,761608
Belarus,BLR,1981,1014301,4891567,1717890,1481816,771549
Belarus,BLR,1982,1004899,4986587,1682388,1482644,782422
Belarus,BLR,1983,995761,5081280,1642125,1489543,795340
Belarus,BLR,1984,989938,5170612,1600590,1498951,809263
Belarus,BLR,1985,988913,5254924,1559934,1508286,821160
Belarus,BLR,1986,995149,5333150,1521316,1518259,833801
Belarus,BLR,1987,1011952,5398035,1486792,1531317,842514
Belarus,BLR,1988,1038880,5443225,1458472,1551068,841839
Belarus,BLR,1989,1070476,5467619,1441807,1574350,833359
Belarus,BLR,1990,1104341,5475055,1436666,1597133,815332
Belarus,BLR,1991,1142015,5470525,1438799,1621894,784386
Belarus,BLR,1992,1182968,5455693,1447801,1642810,746640
Belarus,BLR,1993,1224874,5431990,1463179,1654541,705901
Belarus,BLR,1994,1268772,5407578,1479898,1657958,661191
Belarus,BLR,1995,1311636,5388039,1494405,1649624,617990
Belarus,BLR,1996,1347904,5373786,1507997,1628604,578164
Belarus,BLR,1997,1376695,5364055,1524106,1595506,540564
Belarus,BLR,1998,1396676,5357120,1546193,1548102,509381
Belarus,BLR,1999,1408971,5353211,1568437,1488431,489231
Belarus,BLR,2000,1423155,5347334,1586831,1421012,478157
Belarus,BLR,2001,1443694,5334529,1605596,1343990,473403
Belarus,BLR,2002,1463775,5317453,1619799,1262771,471593
Belarus,BLR,2003,1481429,5304468,1623692,1186465,469827
Belarus,BLR,2004,1494661,5300853,1618193,1119084,466922
Belarus,BLR,2005,1498977,5306197,1601872,1063428,464692
Belarus,BLR,2006,1493115,5322619,1574954,1018348,465664
Belarus,BLR,2007,1476584,5360032,1535159,980587,473628
Belarus,BLR,2008,1450944,5415623,1481756,951743,487763
Belarus,BLR,2009,1421136,5475170,1420969,934222,506213
Belarus,BLR,2010,1394040,5530042,1354933,927459,524952
Belarus,BLR,2011,1380148,5574708,1281716,930278,540133
Belarus,BLR,2012,1384539,5606680,1206983,941832,553720
Belarus,BLR,2013,1402847,5624774,1138849,958137,566536
Belarus,BLR,2014,1428289,5632036,1080216,977192,576008
Belarus,BLR,2015,1453725,5633472,1033497,996154,583761
Belarus,BLR,2016,1478545,5627845,997662,1014092,589967
Belarus,BLR,2017,1505008,5613437,968494,1037412,583523
Belarus,BLR,2018,1534879,5587749,946135,1065448,561362
Belarus,BLR,2019,1568705,5546476,932345,1093675,532770
Belarus,BLR,2020,1594649,5489042,927759,1119423,502872
Belarus,BLR,2021,1611927,5421322,931927,1139283,473713
Belgium,BEL,1950,950283,4581201,1278426,1113495,693935
Belgium,BEL,1951,963431,4603125,1258023,1131448,699378
Belgium,BEL,1952,976869,4622199,1241584,1158899,696038
Belgium,BEL,1953,990753,4640645,1229351,1183477,696192
Belgium,BEL,1954,1003978,4658767,1218015,1207694,698776
Belgium,BEL,1955,1016319,4678779,1197605,1237728,704096
Belgium,BEL,1956,1027802,4699654,1164842,1277457,711744
Belgium,BEL,1957,1041152,4716691,1133540,1319702,720883
Belgium,BEL,1958,1056552,4727761,1119204,1353517,730633
Belgium,BEL,1959,1075025,4733217,1119821,1379795,741536
Belgium,BEL,1960,1091876,4734150,1126366,1405168,751169
Belgium,BEL,1961,1110843,4729688,1146413,1420935,760600
Belgium,BEL,1962,1132768,4723589,1176072,1429523,768385
Belgium,BEL,1963,1150091,4720362,1202751,1441803,773216
Belgium,BEL,1964,1169304,4717456,1228572,1457637,777504
Belgium,BEL,1965,1191519,4705700,1260092,1475034,779746
Belgium,BEL,1966,1214175,4680149,1301633,1493956,776201
Belgium,BEL,1967,1237881,4651887,1346126,1512133,767202
Belgium,BEL,1968,1256841,4636144,1382313,1527719,753241
Belgium,BEL,1969,1273002,4630301,1410698,1543399,734705
Belgium,BEL,1970,1290300,4627426,1438038,1554954,718658
Belgium,BEL,1971,1306470,4636499,1455754,1559695,707978
Belgium,BEL,1972,1322744,4655572,1465602,1557015,699362
Belgium,BEL,1973,1338800,4674707,1478438,1546548,689494
Belgium,BEL,1974,1353040,4694940,1494634,1530843,675606
Belgium,BEL,1975,1365170,4714696,1512027,1515166,656373
Belgium,BEL,1976,1374051,4734759,1530279,1498999,635452
Belgium,BEL,1977,1386021,4755693,1547205,1479417,618036
Belgium,BEL,1978,1400767,4777618,1561169,1453666,606984
Belgium,BEL,1979,1414087,4802773,1574643,1419719,602911
Belgium,BEL,1980,1418987,4839054,1583251,1383124,604573
Belgium,BEL,1981,1407735,4892737,1584674,1350194,608254
Belgium,BEL,1982,1385747,4959524,1578922,1322986,610158
Belgium,BEL,1983,1359233,5031681,1565901,1300972,608741
Belgium,BEL,1984,1345542,5093897,1548103,1282051,604007
Belgium,BEL,1985,1357906,5131271,1530388,1264049,596926
Belgium,BEL,1986,1382017,5156301,1512370,1246936,590198
Belgium,BEL,1987,1407210,5183792,1491234,1231843,586147
Belgium,BEL,1988,1435001,5212785,1464406,1219833,585964
Belgium,BEL,1989,1461884,5244177,1429951,1211601,589555
Belgium,BEL,1990,1488211,5274553,1393224,1207120,596457
Belgium,BEL,1991,1514635,5301466,1360723,1205299,604949
Belgium,BEL,1992,1538900,5326140,1334732,1204428,612255
Belgium,BEL,1993,1561166,5348159,1314441,1204290,615682
Belgium,BEL,1994,1584087,5369206,1297533,1204958,613398
Belgium,BEL,1995,1610895,5388682,1282193,1206809,606625
Belgium,BEL,1996,1639073,5407352,1268358,1210862,597585
Belgium,BEL,1997,1665767,5426864,1256854,1216743,588648
Belgium,BEL,1998,1688655,5446882,1248747,1222669,581588
Belgium,BEL,1999,1707729,5466996,1244906,1226507,578085
Belgium,BEL,2000,1724597,5487002,1245410,1229060,578282
Belgium,BEL,2001,1740480,5509770,1249019,1230846,579134
Belgium,BEL,2002,1756397,5535769,1253775,1231408,578220
Belgium,BEL,2003,1772846,5563053,1259287,1229779,577585
Belgium,BEL,2004,1791231,5593977,1265408,1225815,579733
Belgium,BEL,2005,1805703,5634185,1272339,1220983,583769
Belgium,BEL,2006,1811191,5686111,1281133,1214575,589960
Belgium,BEL,2007,1815868,5740183,1291317,1206615,599715
Belgium,BEL,2008,1828918,5783439,1301247,1200893,612223
Belgium,BEL,2009,1849240,5817538,1309050,1201463,624066
Belgium,BEL,2010,1871352,5849605,1315536,1207483,633972
Belgium,BEL,2011,1902887,5874138,1321323,1216238,641156
Belgium,BEL,2012,1941311,5892439,1325794,1226772,644824
Belgium,BEL,2013,1976844,5913250,1327761,1240408,644997
Belgium,BEL,2014,2013567,5937364,1326897,1256389,642510
Belgium,BEL,2015,2048563,5965014,1324516,1272478,637735
Belgium,BEL,2016,2081049,5996125,1319841,1288153,631669
Belgium,BEL,2017,2115011,6027020,1312841,1303883,625736
Belgium,BEL,2018,2150457,6052695,1307397,1318614,619435
Belgium,BEL,2019,2188365,6072014,1307861,1329742,612587
Belgium,BEL,2020,2220728,6085749,1313623,1336259,605357
Belgium,BEL,2021,2254595,6097025,1322070,1338242,599484
Belize,BLZ,1950,2470,26465,13215,15617,11367
Belize,BLZ,1951,2554,26930,13316,15874,12564
Belize,BLZ,1952,2673,27505,13405,16271,13626
Belize,BLZ,1953,2794,28076,13494,16844,14451
Belize,BLZ,1954,2919,28626,13592,17571,15114
Belize,BLZ,1955,3056,29161,13709,18513,15566
Belize,BLZ,1956,3196,29683,13849,19645,15841
Belize,BLZ,1957,3337,30193,14026,20777,16136
Belize,BLZ,1958,3480,30700,14248,21882,16448
Belize,BLZ,1959,3630,31222,14522,22966,16738
Belize,BLZ,1960,3781,31710,14809,24012,17108
Belize,BLZ,1961,3903,32159,15059,25030,17623
Belize,BLZ,1962,4025,32554,15322,26088,18211
Belize,BLZ,1963,4160,32942,15653,27218,18904
Belize,BLZ,1964,4303,33325,16066,28411,19685
Belize,BLZ,1965,4444,33677,16584,29697,20451
Belize,BLZ,1966,4590,34000,17219,31124,21142
Belize,BLZ,1967,4739,34278,18010,32685,21711
Belize,BLZ,1968,4884,34526,18949,34363,22121
Belize,BLZ,1969,5027,34746,20021,36105,22265
Belize,BLZ,1970,5160,34973,21136,37578,22074
Belize,BLZ,1971,5283,35217,22135,38669,21801
Belize,BLZ,1972,5400,35451,23014,39547,21663
Belize,BLZ,1973,5513,35640,23850,40203,21683
Belize,BLZ,1974,5618,35843,24652,40543,21978
Belize,BLZ,1975,5738,36226,25648,40655,22551
Belize,BLZ,1976,5872,36790,26856,40738,23231
Belize,BLZ,1977,6003,37411,28085,40768,23933
Belize,BLZ,1978,6122,38078,29300,40800,24649
Belize,BLZ,1979,6223,38831,30487,40931,25371
Belize,BLZ,1980,6313,39767,31727,41225,26115
Belize,BLZ,1981,6418,41061,32929,41628,26746
Belize,BLZ,1982,6533,42651,33871,42189,27176
Belize,BLZ,1983,6641,44362,34526,43017,27524
Belize,BLZ,1984,6748,46173,34862,44111,27845
Belize,BLZ,1985,6873,48086,34984,45339,28171
Belize,BLZ,1986,7002,50079,35117,46510,28504
Belize,BLZ,1987,7126,52085,35335,47620,28829
Belize,BLZ,1988,7254,54062,35656,48726,29133
Belize,BLZ,1989,7410,55956,36089,49826,29430
Belize,BLZ,1990,7595,57728,36678,50873,29729
Belize,BLZ,1991,7761,59466,37263,51889,30099
Belize,BLZ,1992,7798,60952,38258,52787,30517
Belize,BLZ,1993,7751,62210,39775,53568,30888
Belize,BLZ,1994,7769,63767,41295,54428,31171
Belize,BLZ,1995,7906,66010,42746,55466,31444
Belize,BLZ,1996,8166,69144,44067,56756,31724
Belize,BLZ,1997,8498,73038,45305,58189,32097
Belize,BLZ,1998,8833,77306,46560,59553,32665
Belize,BLZ,1999,9163,81612,47843,60747,33385
Belize,BLZ,2000,9487,85829,49113,61829,34162
Belize,BLZ,2001,9779,89878,50484,62971,34997
Belize,BLZ,2002,10042,93881,51949,64302,35826
Belize,BLZ,2003,10312,97946,53444,65826,36478
Belize,BLZ,2004,10601,102035,55038,67480,36987
Belize,BLZ,2005,10904,106226,56683,69205,37368
Belize,BLZ,2006,11240,110589,58360,70903,37653
Belize,BLZ,2007,11591,115148,60051,72533,37859
Belize,BLZ,2008,11974,119885,61752,74081,37995
Belize,BLZ,2009,12409,124723,63519,75528,37999
Belize,BLZ,2010,12830,129684,65413,76509,37679
Belize,BLZ,2011,13225,134799,67290,76999,37233
Belize,BLZ,2012,13679,140037,69028,77321,37002
Belize,BLZ,2013,14212,145392,70699,77415,36977
Belize,BLZ,2014,14788,150828,72327,77264,37136
Belize,BLZ,2015,15389,156310,73840,76804,37541
Belize,BLZ,2016,16031,161865,75159,76230,38042
Belize,BLZ,2017,16701,167497,76235,75824,38445
Belize,BLZ,2018,17401,173187,77079,75600,38809
Belize,BLZ,2019,18145,178920,77756,75505,38777
Belize,BLZ,2020,18986,184192,78109,75452,38192
Belize,BLZ,2021,19833,189018,78238,75456,37492
Benin,BEN,1950,177740,925882,363706,484886,312243
Benin,BEN,1951,173555,926257,368746,495561,316563
Benin,BEN,1952,169467,927048,374331,505015,321976
Benin,BEN,1953,165624,928284,380578,512148,330051
Benin,BEN,1954,162109,929950,387687,514546,343079
Benin,BEN,1955,158973,932077,395639,518302,355096
Benin,BEN,1956,156314,934835,404247,526579,363309
Benin,BEN,1957,154118,938231,413474,534738,372497
Benin,BEN,1958,152329,942241,423380,542946,382512
Benin,BEN,1959,150944,946872,433857,551513,393314
Benin,BEN,1960,149892,952132,444479,560909,404878
Benin,BEN,1961,149131,958043,454680,571776,417593
Benin,BEN,1962,148668,964625,463765,585017,431234
Benin,BEN,1963,148481,972073,470712,601652,445171
Benin,BEN,1964,148521,980718,473284,623726,459377
Benin,BEN,1965,148757,990632,477105,645720,473629
Benin,BEN,1966,149179,1001749,485114,665312,487291
Benin,BEN,1967,149745,1014118,493064,686679,500138
Benin,BEN,1968,150456,1027776,501125,709222,512646
Benin,BEN,1969,151302,1042483,509544,732792,525053
Benin,BEN,1970,152221,1057860,518739,757154,537469
Benin,BEN,1971,153260,1073479,529321,782053,550272
Benin,BEN,1972,154442,1088773,542171,807167,563859
Benin,BEN,1973,155725,1102974,558253,832453,577980
Benin,BEN,1974,157042,1114294,579485,857980,592476
Benin,BEN,1975,158419,1128193,600757,883741,607591
Benin,BEN,1976,159946,1147484,619947,909655,623299
Benin,BEN,1977,161611,1168306,640979,935905,639657
Benin,BEN,1978,163409,1190834,663293,962700,656701
Benin,BEN,1979,165290,1215031,686748,989953,675373
Benin,BEN,1980,167199,1240978,711131,1017925,696714
Benin,BEN,1981,169155,1268832,736190,1046940,720461
Benin,BEN,1982,171176,1298749,761561,1077300,745604
Benin,BEN,1983,173296,1330837,787176,1108872,771352
Benin,BEN,1984,175464,1365093,813087,1142297,797136
Benin,BEN,1985,177699,1401685,839261,1178785,822128
Benin,BEN,1986,180074,1441149,865575,1218236,846350
Benin,BEN,1987,182591,1483487,892170,1259770,870776
